article_id,number_images,number_citations,number_headers,number_links,number_categories,number_words,number_scentens,wiener_sachtextformel,is_excellent
185875,3,15,20,150,1,3761,192,12.6,True
176621,39,258,51,547,3,16028,1343,10.5,True
906659,20,89,34,270,4,10745,748,10.3,True
2755775,20,24,16,119,5,4353,321,8.3,True
5012576,0,0,0,3,0,23,1,20.4,False
175452,9,23,20,183,3,3001,213,11.3,True
605676,47,56,34,210,3,8909,497,10.6,True
3715645,0,0,2,1,0,3,1,10.4,False
7525362,0,1,46,1069,0,18316,1537,7.8,False
4377535,0,9,3,18,4,887,40,12.2,False
3643253,2,0,0,12,4,303,28,11.2,False
19039,35,50,39,332,2,8220,614,11.2,True
1314644,6,34,11,110,1,3531,272,10.7,True
4064662,1,3,6,34,5,450,23,9.9,False
3558430,0,0,0,4,1,99,4,12.1,False
6996795,0,0,0,1,0,3,1,9.3,False
3904462,5,34,10,197,6,5081,329,12.2,True
8847970,2,2,5,25,2,173,9,11.4,False
6414652,1,3,3,60,15,716,75,8.9,False
4083042,7,57,15,165,6,4724,386,11.7,True
6929496,0,0,2,19,2,64,10,13.1,False
8453936,0,11,8,65,3,1847,128,8.4,False
346990,0,0,2,18,3,155,12,11.8,False
2707692,3,25,10,68,1,1408,108,11.3,False
4461024,0,5,6,23,3,705,40,12.9,False
613080,17,7,27,184,4,4420,310,11.0,True
3482917,24,43,18,279,1,7398,488,10.0,True
5741666,2,1,16,28,2,1386,89,11.0,False
18623,34,213,41,444,19,16010,1336,8.7,True
1975048,0,1,4,40,4,901,74,10.8,False
3812036,8,37,22,107,6,5595,405,10.4,True
116754,0,4,17,56,2,2914,162,8.8,True
126986,14,61,21,202,5,4932,376,9.1,True
8012303,0,4,5,55,5,402,27,7.8,False
8261739,0,0,0,1,0,4,1,19.2,False
1914664,9,16,17,87,4,3827,273,9.4,True
6159261,3,2,13,38,5,871,58,9.9,False
6877807,0,4,3,13,10,217,18,10.6,False
1129422,21,1,29,293,13,6116,336,10.8,True
525081,30,0,26,295,1,6574,400,11.1,True
150553,16,273,39,897,16,16684,1216,10.2,True
52062,10,120,27,357,7,11800,938,10.1,True
917372,0,0,1,14,6,200,10,12.1,False
9321857,5,56,12,169,12,5048,383,10.0,True
4666897,10,29,16,94,11,2988,221,10.6,True
2940823,0,0,8,43,13,456,31,10.9,False
6088719,17,84,24,302,10,7600,496,11.1,True
3736563,7,46,18,159,7,5752,257,9.9,True
3665696,0,2,1,9,5,162,9,13.1,False
6963521,0,4,2,33,6,230,16,10.6,False
7258384,7,48,18,114,4,3962,323,10.2,True
7009572,0,2,5,24,8,458,36,13.0,False
3772135,0,0,0,7,5,122,6,14.4,False
907759,33,9,25,272,7,7039,449,10.0,True
1727137,13,33,18,142,9,4916,320,10.1,True
7871549,0,0,3,20,13,234,19,11.4,False
105174,6,22,14,114,3,3176,239,9.8,True
4104672,0,1,4,16,6,249,17,9.2,False
87694,13,103,40,315,6,10853,738,8.3,True
86285,5,3,14,152,15,3600,238,11.4,True
136155,8,53,26,93,7,8136,419,9.1,True
8899271,2,2,4,51,4,493,24,13.1,False
12582,24,265,38,751,7,27567,1894,10.5,True
3270398,0,0,0,2,2,13,1,10.7,False
89915,14,90,27,429,2,9075,538,12.0,True
3240563,0,0,2,2,0,3,1,10.4,False
18362,8,76,30,214,3,6574,476,7.8,True
240462,0,0,4,18,1,484,31,9.0,False
